,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation
0,il,1,86.07556139775085,1,Democratic,European,Polish,Democratic & Republican,111285.49912196476,Condominium,308653.33159022557,0
1,az,1,19.799617625933667,1,Democratic,European,English/Welsh,Independent,73557.11736330311,Apartment,127429.65875402765,1
2,mo,1,66.30868960857293,1,Non-Partisan,European,Arab,Independent,157277.01390193487,Residential,300381.02358386805,1
3,az,0,42.9366633220288,1,Republican,Hispanic and Portuguese,English/Welsh,Republican,107316.07352202601,Residential,203579.1058368311,0
4,ca,0,72.67908063449052,1,Democratic,East and South Asian,German,Independent,64653.5141346006,Apartment,228204.97530832386,1
5,az,1,65.98059452482299,0,Republican,European,Hispanic,Republican,93972.07856394524,Apartment,291808.05104149453,0
6,fl,0,24.306391333792725,0,Unknown,Likely African-American,Chinese,Independent,31420.844619371397,Apartment,209559.3968760274,1
7,ca,1,18.913422922439523,1,Registered Independent,European,Scots,Democratic & Republican & Independent,259256.83266168134,Apartment,346413.05498779344,1
8,wi,0,89.61874317677905,1,Democratic,European,English/Welsh,Independent,58593.97553123616,Triplex,366043.2331292145,0
9,ca,1,52.73786891556914,0,Democratic,Likely African-American,English/Welsh,Republican,78639.51884045427,Unknown,773808.9025435555,0
10,ca,1,48.025871946280446,1,Democratic,European,English/Welsh,Democratic,50154.89594737249,Residential,326937.7711179542,0
11,oh,1,52.262066547859995,1,Democratic,European,German,Democratic & Independent,113549.49399162599,Apartment,359812.7586225354,1
12,co,0,26.490221184364472,0,Democratic,Other,Irish,Independent,279698.02010934625,Residential,164007.42418732715,0
13,tn,1,25.068829775358914,1,Non-Partisan,European,Hispanic,Republican,87654.97726630812,Residential,402601.8229510692,0
14,sc,1,62.54711116849287,1,Registered Independent,European,Chinese,Republican,97372.68619557242,Residential,453902.4608257704,1
15,ca,1,16.72994147639219,1,Democratic,European,Chinese,Independent,99491.91109663928,Residential,26771.01333390642,0
16,ct,0,55.21688570577767,1,Democratic,European,German,Republican,58596.27692833743,Apartment,182520.6860146191,0
17,mn,1,46.74124941781845,1,Republican,European,Hispanic,Democratic,91236.25801058614,Unknown,306582.47718690446,0
18,ma,1,80.31813755783931,0,Non-Partisan,European,Hispanic,Republican,86494.27766137992,Residential,1785173.492902776,0
19,pa,0,54.088944612865745,1,Democratic,Likely African-American,Hispanic,Democratic,171701.56677260512,Apartment,27011.53653559726,1
20,ny,1,42.35911440206403,0,Democratic,European,English/Welsh,Independent,85840.88181099505,Unknown,367345.11267319997,0
21,ny,0,25.624407237931283,0,Democratic,European,Likely Af-Am (Modeled),Independent,42345.11148789727,Apartment,-17810.797616546857,0
22,ms,0,53.844579505695194,0,Republican,European,Vietnamese,Republican,23257.913343440072,Apartment,425128.7106866469,0
23,az,1,75.3192368658265,1,Non-Partisan,European,English/Welsh,Republican & Independent,21738.851399587944,Unknown,183752.23670435196,1
24,co,1,18.181155094868615,1,Republican,European,English/Welsh,Republican,164947.98801079602,Duplex,54569.27486342465,0
25,mn,1,23.3171459307792,1,Republican,European,Scots,Democratic,86891.22233349251,Residential,113724.18782278243,1
26,pa,1,62.72102061204342,1,Republican,European,Hispanic,Republican,73116.24591082244,Residential,292837.3296167421,0
27,vt,0,50.53712184767821,0,Democratic,European,Hispanic,Democratic,20356.61455508209,Apartment,348297.81494288007,1
28,or,0,27.432026749688184,1,Non-Partisan,European,English/Welsh,Independent,63406.56677148391,Apartment,1323609.491383945,1
29,tx,1,47.18459017601313,1,Republican,European,German,Independent,25178.510442837996,Residential,270013.31816427613,0
30,nv,1,49.7794159959681,0,Republican,European,English/Welsh,Independent,91740.99658409806,Apartment,566048.3052159243,0
31,ca,0,54.12323254993904,0,Non-Partisan,Hispanic and Portuguese,Italian,Democratic & Independent,210815.71939950812,Duplex,231192.7150151329,0
32,pa,1,17.99234978344958,0,Republican,European,Irish,Republican,223910.9159781915,Residential,370581.9834244108,1
33,in,1,68.00329356127368,0,Republican,European,English/Welsh,Democratic,140027.77666917932,Apartment,303232.4847166369,1
34,pa,1,59.735131808325704,1,Non-Partisan,European,English/Welsh,Republican & Independent,249624.0988754756,Unknown,321306.6653763569,1
35,nj,0,32.82273545146222,1,Democratic,European,English/Welsh,Independent,98457.50254990249,Apartment,263510.2714488839,0
36,wv,1,64.42955365878261,0,Republican,European,English/Welsh,Democratic & Republican,115129.46924018858,Apartment,214749.09566336908,0
37,il,0,69.10575582719973,1,Democratic,European,German,Republican,85902.48848038545,Residential,292611.08263923705,1
38,dc,0,27.19576627556971,0,Democratic,Likely African-American,Estonian,Democratic,79802.72223616605,Residential,541117.4873400336,0
39,la,0,64.74115971604346,0,Non-Partisan,European,Hispanic,Independent,254197.5828051924,Residential,1144269.781343544,0
40,nh,0,17.774210618416337,1,Republican,European,English/Welsh,Independent,116293.84387141505,Apartment,187100.15439905817,0
41,ca,1,75.74768459014177,1,Democratic,European,German,Democratic,35231.89114186467,Residential,177858.6513753268,1
42,wi,0,52.11231790430167,1,Democratic,European,German,Democratic & Republican,255637.09204960265,Residential,205776.38073288611,0
43,ky,0,38.77460453857114,0,Non-Partisan,European,English/Welsh,Democratic,161446.6590899101,Residential,253285.2477734706,1
44,ny,0,34.20407414560951,1,Democratic,Hispanic and Portuguese,Irish,Independent,78078.18608384632,Residential,344927.40748603403,0
45,mo,0,38.2813719119716,0,Democratic,European,Arab,Independent,115945.51616635795,Unknown,878908.0804796421,1
46,tn,1,64.23202662735876,1,Democratic,East and South Asian,Norwegian,Independent,43463.22550585037,Apartment,758735.4953774114,0
47,tx,0,16.51047106625912,1,Democratic,European,Indian/Hindu,Independent,79690.12792639501,Residential,136367.78650651406,1
48,va,0,35.63406148317902,1,Democratic,European,English/Welsh,Independent,248994.499874437,Residential,708111.1303852868,0
49,mn,1,21.911100619979248,0,Democratic,European,Hispanic,Democratic,67642.79227335851,Residential,377845.1150208756,0
50,ca,1,60.256182958974286,1,Non-Partisan,European,English/Welsh,Republican,199005.042292912,Condominium,778223.2601505814,0
51,az,1,25.00672164897202,1,Democratic,European,German,Democratic & Republican & Independent,80995.60318686446,Residential,320180.4669657353,0
52,pa,1,22.96180693453065,1,Republican,European,English/Welsh,Republican,140752.8642286938,Residential,888063.625822664,0
53,ca,0,60.5907394019508,1,Republican,Likely African-American,English/Welsh,Independent,78603.3381447787,Residential,198242.36539994954,0
54,la,1,54.75779687359738,1,Non-Partisan,European,Dutch (Netherlands),Democratic,75429.04536576316,Residential,185690.4780211046,0
55,ny,0,49.84374473935526,0,Republican,Likely African-American,Likely Af-Am (Modeled),Independent,269780.3699419759,Residential,165658.57883909583,0
56,ca,1,48.94151877310597,1,Republican,European,German,Independent,115601.39230585864,Residential,147755.6910025162,0
57,in,1,26.613618822349107,1,Republican,European,African or Af-Am Self Reported,Independent,73094.87937135992,Residential,160190.38840894384,0
58,tx,0,31.575204321067016,0,Republican,Hispanic and Portuguese,Filipino,Republican,91752.92677740696,Apartment,250995.0170713191,1
59,pa,1,14.488365870492489,1,Democratic,European,French,Republican,86113.6936246978,Residential,539081.9905637834,0
60,la,1,25.974494619168002,1,Republican,European,English/Welsh,Democratic,96139.78933504396,Residential,386899.78644664935,0
61,ny,1,26.284564575616837,0,Democratic,Likely African-American,German,Independent,106063.09478242755,Apartment,263597.87338609144,0
