,state,voted,calculated_age,Voters_Gender,Parties_Description,EthnicGroups_EthnicGroup1Desc,Ethnic_Description,Residence_HHParties_Description,CommercialData_EstimatedIncomeAmount,CommercialData_PropertyType,CommercialData_EstHomeValue,nonpartisan_donation,row_index
0,ca,1,29.0,0,Non-Partisan,European,English/Welsh,Democratic & Independent,96000.0,Residential,521872.0,0,104214
1,fl,0,36.0,0,Non-Partisan,European,German,Republican & Independent,59210.0,Unknown,260202.0,0,37010
2,fl,1,51.0,0,Democratic,Likely African-American,African or Af-Am Self Reported,Democratic & Republican,60000.0,Residential,160728.0,0,34850
3,ca,1,53.0,1,Democratic,European,Irish,Democratic,250000.0,Residential,1637419.0,0,390799
4,in,1,59.0,1,Republican,European,English/Welsh,Republican,50000.0,Residential,227722.0,0,321272
5,pa,1,56.0,0,Republican,European,English/Welsh,Republican,102000.0,Residential,188079.0,0,252843
6,mi,1,39.0,1,Republican,European,Austrian,Republican,145000.0,Residential,304737.0,0,325310
7,ar,0,20.0,1,Non-Partisan,European,English/Welsh,Independent,6000.0,Residential,120411.0,0,75169
8,ca,1,21.0,0,Democratic,Hispanic and Portuguese,Hispanic,Democratic & Republican & Independent,250000.0,Residential,1028513.0,0,395466
9,sd,1,73.0,0,Republican,European,Dutch (Netherlands),Democratic & Republican,71000.0,Residential,87500.0,0,339954
10,tx,1,70.0,0,Republican,European,German,Republican,58000.0,Residential,261073.0,1,367040
11,wi,1,62.0,0,Democratic,European,Dutch (Netherlands),Democratic,62707.0,Unknown,156874.0,0,61751
12,ca,1,34.0,1,Democratic,European,English/Welsh,Democratic & Independent,83000.0,Residential,687478.0,0,103559
13,ok,0,37.0,1,Non-Partisan,Likely African-American,Likely Af-Am (Modeled),Democratic & Independent,60000.0,Residential,60818.0,0,76275
14,ia,1,46.0,1,Democratic,European,English/Welsh,Democratic,12000.0,Residential,137500.0,0,331250
15,ca,0,56.0,1,Republican,Hispanic and Portuguese,Hispanic,Republican,35999.0,Apartment,425000.0,0,205124
16,fl,1,57.0,0,Republican,East and South Asian,Vietnamese,Republican,92000.0,Residential,603835.0,1,291272
17,ar,0,21.0,0,Non-Partisan,European,Danish,Independent,54003.0,Residential,71465.0,0,357610
