"","state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation"
"1","ca","1",49,"0","Democratic","Hispanic and Portuguese","Democratic",26000,"Apartment",348227,"0"
"2","dc","1",34,"1","Democratic","Likely African-American","Democratic",250000,"Apartment",3287613,"0"
"3","nh","1",NA,"0","Non-Partisan","European","Independent",84228,"Apartment",292335,"0"
"4","in","1",75,"1","Democratic","","Democratic & Independent",NA,"Apartment",69499,"1"
"5","al","1",50,"0","Republican","European","Republican",173000,"Residential",273683,"1"
"6","va","0",19,"0","Democratic","Likely African-American","Democratic",71000,"Apartment",199025,"0"
"7","nj","1",47,"1","Non-Partisan","Other","Democratic & Independent",94626,"Triplex",381466,"0"
"8","tn","1",41,"0","Democratic","Likely African-American","Democratic & Independent",35000,"Unknown",103387,"0"
"9","ga","0",58,"0","Republican","European","Republican",49000,"Apartment",377587,"0"
"10","mi","1",19,"1","Non-Partisan","European","Independent",63000,"Residential",224753,"0"
"11","fl","0",23,"0","Democratic","Hispanic and Portuguese","Democratic",47000,"Unknown",94606,"0"
"12","mi","0",32,"1","Democratic","Likely African-American","Democratic",131249,"Residential",74749,"0"
"13","nc","1",31,"1","Non-Partisan","European","Independent",63000,"Apartment",84999,"0"
"14","wa","1",64,"0","Republican","European","Republican",60000,"Apartment",382307,"1"
"15","nj","1",33,"1","Democratic","European","Democratic & Independent",135000,"Residential",455566,"0"
"16","md","0",20,"0","Democratic","Likely African-American","Democratic",81000,"Residential",81666,"0"
"17","ny","0",33,"1","Republican","","Republican",65000,"Apartment",143353,"0"
"18","va","0",60,"0","Democratic","European","Democratic",75855,"Residential",356243,"0"
"19","mi","1",70,"0","Republican","Other","Republican",242000,"Residential",790986,"0"
"20","mo","0",23,"0","Non-Partisan","European","Independent",34000,"Apartment",119885,"0"
"21","az","1",47,"1","Non-Partisan","","Independent",120000,"Condominium",315025,"0"
"22","nc","1",50,"1","Non-Partisan","European","Independent",NA,"Unknown",NA,"0"
"23","ca","1",66,"0","Democratic","European","Democratic",36000,"Apartment",290376,"0"
"24","in","1",65,"0","Republican","European","Republican & Independent",114000,"Residential",294999,"1"
