"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"tn",1,68,1,"Democratic","European","English/Welsh","Democratic & Independent",250000,"Residential",1300613,0,42069
"tn",1,42,0,"Non-Partisan","","","Independent",63000,"Residential",130248,0,304671
"mn",1,82,1,"Non-Partisan","European","English/Welsh","Independent",90918,"Apartment",222580,1,177502
"il",1,63,0,"Republican","European","English/Welsh","Republican",40000,"Residential",286397,0,341441
"fl",1,56,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",34499,"Apartment",394999,0,156448
"mi",1,30,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",52713,"Unknown",52142,0,55160
"mi",1,89,1,"Democratic","European","German","Democratic & Republican",73268,"Residential",137500,0,327832
"nv",0,54,1,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",139000,"Apartment",453066,0,202532
"va",0,20,1,"Non-Partisan","","","Independent",188297,"Apartment",609817,0,140335
"nc",1,58,1,"Non-Partisan","European","English/Welsh","Independent",47000,"Residential",156158,1,271296
"md",1,30,1,"Democratic","European","English/Welsh","Democratic",65000,"Residential",328637,0,261401
"ca",1,64,0,"Republican","Hispanic and Portuguese","Hispanic","Republican",193000,"Residential",543488,0,404609
"fl",1,24,1,"Non-Partisan","Other","Serbian","Independent",127000,"Apartment",150337,0,151105
"wi",0,70,0,"Democratic","European","Austrian","Democratic",31000,"Residential",139870,1,60829
"sc",1,45,1,"Non-Partisan","European","English/Welsh","Independent",96000,"Residential",185725,0,276300
"md",1,63,0,"Democratic","European","German","Democratic & Republican",98877,"Residential",226764,0,260964
"ca",1,80,0,"Democratic","European","German","Democratic",140000,"Residential",428180,0,393781
"tx",0,50,1,"Democratic","European","German","Democratic",31093,"Apartment",67499,0,191369
"wa",1,41,1,"Non-Partisan","European","Irish","Independent",102910,"Unknown",616123,0,108879
"nc",1,81,1,"Republican","European","English/Welsh","Republican",137108,"Residential",319135,0,21968
"fl",1,66,1,"Democratic","European","Dutch (Netherlands)","Democratic",115000,"Residential",366536,0,285323
"ca",1,52,1,"Republican","East and South Asian","Chinese","Republican",65000,"Apartment",449999,0,205639
"oh",1,25,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",132000,"Apartment",164734,0,165293
"oh",1,55,1,"Democratic","","","Democratic & Republican",18000,"Residential",130113,1,49198
"il",1,30,0,"Republican","European","English/Welsh","Republican",93618,"Unknown",241712,0,65560
"nj",1,28,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",NA,"Apartment",NA,0,118911
"in",0,54,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",57000,"Residential",159841,0,51895
"md",1,73,1,"Republican","European","English/Welsh","Republican",114023,"Residential",372534,1,262283
"fl",1,53,1,"Registered Independent","East and South Asian","Indian/Hindu","Independent",172000,"Residential",363617,0,296962
"nj",1,26,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",28000,"Residential",104114,0,6123
"fl",1,59,0,"Democratic","","","Democratic",118000,"Residential",346666,0,35369
"pa",1,28,0,"Non-Partisan","European","French","Democratic & Independent",68610,"Apartment",201189,0,135037
"az",1,52,1,"Democratic","European","English/Welsh","Democratic",114731,"Residential",320079,0,92738
"mi",1,60,1,"Republican","","","Republican",95000,"Residential",302217,0,325055
"ny",1,47,0,"Republican","European","English/Welsh","Republican & Independent",107090,"Residential",427461,0,239209
"wi",1,73,1,"Republican","European","English/Welsh","Republican",75000,"Residential",299161,1,332619
"tx",1,40,0,"Republican","","","Republican",60896,"Residential",186606,0,367640
"mn",1,66,1,"Democratic","European","Scots","Democratic",90000,"Residential",410902,0,337749
"tx",1,37,1,"Democratic","European","English/Welsh","Democratic",56817,"Residential",119642,0,78883
"va",0,59,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",47000,"Residential",242346,0,264899
"mi",0,45,0,"Democratic","Other","Arab","Democratic",7000,"Duplex",129411,0,169330
"nc",1,89,1,"Republican","European","Scots","Republican",58570,"Apartment",173076,0,144857
"sd",0,80,0,"Republican","European","Norwegian","Republican",53000,"Residential",235984,0,339844
"me",1,62,1,"Non-Partisan","European","Irish","Independent",73000,"Residential",154871,0,229808
"az",1,68,1,"Democratic","European","Irish","Democratic & Republican",75509,"Unknown",326063,0,92291
"ia",0,37,0,"Democratic","European","Czech","Democratic",NA,"Unknown",NA,0,58992
"ca",1,72,0,"Democratic","European","Polish","Democratic & Independent",98000,"Residential",344595,1,101919
"il",1,69,0,"Democratic","","","Democratic",221537,"Residential",625000,1,342203
"tx",1,43,0,"Republican","Hispanic and Portuguese","Hispanic","Republican",55869,"Residential",105768,0,79963
"va",0,23,0,"Non-Partisan","European","German","Independent",128999,"Apartment",363933,0,137974
"va",1,55,1,"Non-Partisan","European","English/Welsh","Independent",86000,"Residential",452701,0,264745
"fl",1,20,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",52499,"Apartment",256249,0,155759
"ny",1,70,1,"Democratic","European","Scots","Democratic",84000,"Condominium",248168,0,242080
"fl",1,63,1,"Democratic","European","English/Welsh","Democratic & Independent",220000,"Residential",737527,1,286436
"ia",0,66,0,"Democratic","East and South Asian","Chinese","Democratic & Republican",95525,"Residential",337018,0,329594
"ma",1,22,1,"Non-Partisan","European","Polish","Independent",250000,"Apartment",610672,0,112307
"ok",1,63,1,"Democratic","European","English/Welsh","Democratic",44000,"Residential",120473,0,360437
"in",1,69,0,"Democratic","European","German","Democratic",74000,"Residential",181095,0,322253
"il",1,45,1,"Non-Partisan","European","English/Welsh","Independent",99000,"Residential",338415,1,65866
"ny",1,41,1,"Democratic","","","Democratic",84000,"Condominium",489513,0,7952
"tx",0,45,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",48000,"Residential",201835,0,368857
"in",0,26,0,"Non-Partisan","European","English/Welsh","Independent",62000,"Residential",97700,0,53628
"nc",1,20,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",NA,"Apartment",NA,0,143916
"co",1,64,0,"Democratic","European","English/Welsh","Democratic & Independent",84000,"Residential",214696,1,378819
"nh",1,33,0,"Democratic","European","English/Welsh","Democratic & Independent",102438,"Unknown",262386,0,2106
"fl",1,30,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",50040,"Apartment",145507,0,152350
"il",1,59,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",70000,"Residential",175391,0,345336
"tx",1,18,0,"Republican","European","Irish","Republican",123943,"Residential",234721,0,80092
"ny",1,61,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",146000,"Duplex",760614,0,128234
"ny",0,56,1,"Republican","European","English/Welsh","Republican",106097,"Apartment",171537,1,132420
"al",1,26,0,"Republican","European","English/Welsh","Republican",111000,"Residential",210198,0,40164
"tx",1,41,0,"Democratic","European","English/Welsh","Democratic & Republican",122355,"Residential",317280,0,363317
"ca",0,57,1,"Democratic","European","Irish","Democratic",17000,"Apartment",1409090,0,213489
"tx",0,54,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",41973,"Apartment",89693,0,195775
"nc",1,69,0,"Non-Partisan","European","English/Welsh","Independent",30000,"Apartment",231249,0,142944
"ms",1,NA,1,"Non-Partisan","European","English/Welsh","Independent",47000,"Residential",290202,0,44102
"nj",1,23,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",69499,"Apartment",403845,0,117452
"va",1,32,0,"Non-Partisan","","","Independent",82601,"Apartment",214694,0,141171
"wi",1,57,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",132000,"Residential",281096,1,333080
"tx",0,98,0,"Republican","","","Republican",107000,"Residential",237500,1,373012
"fl",1,66,0,"Republican","European","French","Republican",141000,"Residential",266309,1,284781
"mo",0,86,1,"Democratic","European","German","Democratic",65542,"Unknown",167401,0,69127
"tx",1,52,0,"Democratic","European","Dutch (Netherlands)","Democratic",199000,"Residential",974621,0,366576
"tx",1,24,0,"Democratic","European","English/Welsh","Democratic & Independent",107291,"Apartment",189652,0,187967
"fl",1,29,1,"Republican","European","English/Welsh","Republican",39000,"Apartment",147088,0,151560
"ga",1,69,1,"Democratic","European","English/Welsh","Democratic",91405,"Residential",137500,1,280419
"va",1,79,1,"Democratic","European","English/Welsh","Democratic",19000,"Residential",195702,1,20433
"or",1,68,1,"Republican","European","English/Welsh","Republican",30000,"Residential",NA,0,107888
"ca",1,53,1,"Non-Partisan","East and South Asian","Korean","Democratic & Independent",226000,"Residential",858264,0,396491
"mn",0,25,0,"Non-Partisan","European","German","Independent",53442,"Apartment",261841,0,176251
"tn",0,26,1,"Non-Partisan","European","Scots","Independent",41858,"Apartment",108983,0,161532
"ak",0,NA,1,"Other","European","English/Welsh","Independent",NA,"Unknown",NA,0,110938
"ma",1,41,1,"Democratic","European","English/Welsh","Democratic & Independent",171000,"Residential",613896,0,1174
"ca",1,48,1,"American Independent","East and South Asian","Chinese","Independent",250000,"Residential",847715,0,404398
"wi",1,60,1,"Democratic","European","German","Democratic",96041,"Residential",262765,1,332468
"al",1,59,1,"Republican","European","Scots","Republican",46000,"Residential",100681,0,40483
"fl",0,31,0,"Non-Partisan","Likely African-American","African or Af-Am Self Reported","Independent",41000,"Residential",215568,0,291072
"md",1,64,1,"Republican","European","Swedish","Republican",250000,"Residential",897957,0,259059
"co",1,70,0,"Non-Partisan","European","Lithuanian","Independent",250000,"Residential",848616,0,377058
"co",1,24,0,"Non-Partisan","European","German","Democratic & Independent",250000,"Residential",709145,0,375840
"nc",1,31,0,"Republican","European","English/Welsh","Republican & Independent",59000,"Apartment",260219,0,144386
"mi",0,34,1,"Non-Partisan","European","English/Welsh","Independent",95000,"Residential",112645,0,328084
"wi",1,43,1,"Democratic","European","Irish","Democratic",89381,"Residential",205941,0,332834
"ca",1,53,0,"Republican","European","Dutch (Netherlands)","Republican",250000,"Residential",277416,1,403110
"ca",1,42,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",106932,"Apartment",918268,0,213124
"ok",0,23,1,"Democratic","European","English/Welsh","Democratic",24000,"Residential",96960,0,77070
"tx",0,36,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",26000,"Residential",162500,0,373973
"sd",0,23,0,"Non-Partisan","European","German","Independent",132000,"Residential",432845,0,63590
"tx",1,55,0,"Republican","European","English/Welsh","Republican",192000,"Residential",741022,0,361404
"az",0,29,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",66993,"Apartment",218042,0,200612
"mi",1,49,1,"Democratic","European","Scots","Democratic",34000,"Residential",308290,0,325307
"ca",1,60,1,"Non-Partisan","European","Italian","Republican & Independent",199000,"Apartment",1239361,1,209052
"pa",1,59,1,"Democratic","European","Italian","Democratic",182000,"Residential",341072,0,251002
"ri",0,29,0,"Democratic","European","English/Welsh","Democratic",176162,"Apartment",469230,0,114411
"ky",1,28,1,"Republican","European","German","Republican",77000,"Residential",179271,0,306329
"tn",1,18,1,"Non-Partisan","European","English/Welsh","Republican & Independent",199000,"Residential",1027243,0,41662
"wa",0,57,1,"Non-Partisan","European","English/Welsh","Independent",NA,"Apartment",NA,0,221122
"mi",1,59,1,"Republican","European","Irish","Democratic & Republican",189000,"Residential",453230,0,328561
"mi",1,50,0,"Republican","European","Scots","Republican",128000,"Residential",151675,1,326259
"mi",1,47,1,"Democratic","","","Democratic",209000,"Residential",403588,1,323787
"ms",1,NA,0,"Republican","European","English/Welsh","Republican",62044,"Unknown",83845,0,44400
"in",1,45,0,"Republican","European","English/Welsh","Republican & Independent",133749,"Residential",198183,0,320531
"la",0,36,0,"Republican","Hispanic and Portuguese","Hispanic","Republican & Independent",60937,"Residential",137499,0,73239
"or",1,27,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",127325,"Residential",391945,0,107057
"wi",0,NA,0,"Non-Partisan","European","English/Welsh","Independent",90356,"Apartment",261764,0,174941
"ca",1,69,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",21000,"Residential",233332,0,99266
"ny",1,73,0,"Republican","European","Italian","Republican & Independent",74000,"Residential",596435,1,241272
"sd",0,57,1,"Democratic","European","Irish","Democratic & Independent",133000,"Residential",406492,0,63629
"oh",1,52,0,"Republican","European","English/Welsh","Republican",20000,"Triplex",76001,0,165201
"ny",1,30,0,"Democratic","East and South Asian","Chinese","Democratic",NA,"Apartment",NA,0,121642
"ga",1,44,1,"Republican","","","Republican",96076,"Unknown",226776,0,29618
"fl",1,29,0,"Republican","European","English/Welsh","Republican & Independent",107175,"Residential",350441,0,35802
"ny",1,63,1,"Democratic","European","Italian","Democratic & Republican & Independent",91000,"Duplex",153454,0,10536
"tn",1,33,0,"Democratic","European","French","Democratic",88000,"Residential",460241,0,301802
"mo",0,60,0,"Republican","European","English/Welsh","Republican",70000,"Residential",86795,0,68922
"ca",1,32,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",28391,"Unknown",246683,0,98891
"nd",0,39,0,"Republican","European","Norwegian","Republican",248000,"Residential",257453,0,340144
"ia",1,41,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",126230,"Residential",244304,0,330838
"nc",0,23,0,"Republican","","","Republican & Independent",63000,"Residential",208853,0,269933
"ky",1,55,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",34860,"Apartment",97104,0,162714
"fl",1,25,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",22000,"Apartment",270725,0,154441
"il",1,59,1,"Non-Partisan","","","Independent",63749,"Apartment",282431,0,181472
"tx",1,63,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",72000,"Residential",206226,0,372695
